No. of Conv Layers,Dropout Rate,Optimizer,Accuracy
2,0.0,SGD,69.4
2,0.0,ADAM,56.12
2,0.0,RMSProp,10.0
2,0.2,SGD,70.19
2,0.2,ADAM,40.79
2,0.2,RMSProp,10.0
2,0.4,SGD,67.98
2,0.4,ADAM,38.41
2,0.4,RMSProp,10.0
2,0.6,SGD,38.07
2,0.6,ADAM,27.72
2,0.6,RMSProp,10.0
3,0.0,SGD,72.42
3,0.0,ADAM,10.0
3,0.0,RMSProp,10.0
3,0.2,SGD,71.25
3,0.2,ADAM,46.02
3,0.2,RMSProp,10.0
3,0.4,SGD,60.18
3,0.4,ADAM,10.0
3,0.4,RMSProp,10.0
3,0.6,SGD,24.88
3,0.6,ADAM,10.0
3,0.6,RMSProp,10.0
4,0.0,SGD,76.7
4,0.0,ADAM,50.36
4,0.0,RMSProp,10.0
4,0.2,SGD,69.53
4,0.2,ADAM,34.44
4,0.2,RMSProp,10.0
4,0.4,SGD,55.26
4,0.4,ADAM,10.0
4,0.4,RMSProp,10.0
4,0.6,SGD,15.99
4,0.6,ADAM,10.0
4,0.6,RMSProp,10.0
